ID,Fase,Judul,Cerita,Hikmah,Refleksi,Sumber
1,Pra-Kenabian,Kelahiran Nabi ﷺ,Nabi Muhammad ﷺ lahir dalam keadaan yatim di Mekkah.,Allah menjaga hamba pilihan sejak awal.,Apa makna ujian sejak kecil?,Sirah Nabawiyah
2,Pra-Kenabian,Wafat ayah,Ayah Nabi ﷺ wafat sebelum beliau lahir.,Kehilangan adalah bagian dari takdir.,Bagaimana kamu menerima kehilangan?,Sirah Nabawiyah
3,Pra-Kenabian,Diasuh Halimah,Nabi ﷺ diasuh di pedalaman Bani Sa'ad.,Lingkungan membentuk karakter.,Siapa yang membentuk dirimu?,Sirah Nabawiyah
4,Pra-Kenabian,Pembelahan dada,Terjadi penyucian hati Nabi ﷺ saat kecil.,Allah mempersiapkan hamba pilihan.,Apa arti hati bersih bagimu?,Sirah Nabawiyah
5,Pra-Kenabian,Wafat ibu,Ibu Nabi ﷺ wafat saat beliau kecil.,Ujian membentuk keteguhan.,Bagaimana kamu menghadapi kehilangan?,Sirah Nabawiyah
6,Pra-Kenabian,Diasuh Abu Thalib,Nabi ﷺ dibesarkan oleh pamannya.,Perlindungan Allah selalu ada.,Siapa pelindung hidupmu?,Sirah Nabawiyah
7,Pra-Kenabian,Perjalanan Syam,Nabi ﷺ ikut berdagang ke Syam.,Kerja keras membentuk pengalaman.,Apa pengalaman kerja pertamamu?,Sirah Nabawiyah
8,Pra-Kenabian,Rahib Buhaira,Rahib mengenali tanda kenabian.,Kebenaran dikenal oleh yang berilmu.,Apakah kamu peka terhadap tanda kebaikan?,Sirah Nabawiyah
9,Pra-Kenabian,Kejujuran muda,Nabi ﷺ dikenal jujur sejak muda.,Kejujuran membangun kepercayaan.,Apakah kamu dikenal jujur?,Sirah Nabawiyah
10,Pra-Kenabian,Al-Amin,Masyarakat Mekkah memanggil Nabi Al-Amin.,Integritas adalah kehormatan.,Apa reputasimu?,Sirah Nabawiyah
